0,1,2,3,4,5
product_name,price,available_online,available_instore,rating,num_reviews
Lounge & Co Polystyrene Beans For Bean Bags,$19.97,Out of stock online,Available in stores,stars rating-4_5,22 Reviews
Lounge & Co Micro Mink Blue Bean Filled Chair,$44.88,Available online,Available in stores,stars rating-5_0,1 Review
Lounge & Co Red Drum Bean Bag Cover,$24.97,Available online,Available in stores,stars rating-4_5,4 Reviews
Lounge & Co Micro Mink Grey bean filled Chair,$44.88,Available online,Available in stores,stars rating-2_0,1 Review
Lounge & Co Black Bean Bag Cover,$24.97,Available online,Available in stores,stars rating-0_0,0 Reviews
White Sherpa Bean filled Chair,$64.97,Available online,Available in stores,stars rating-1_0,1 Review
Lounge & Co Blue Bean Bag Cover,$24.97,Available online,Available in stores,stars rating-2_0,1 Review
Lounge & Co Micro Mink Black bean filled Chair,$44.88,Out of stock online,Available in stores,stars rating-0_0,0 Reviews
White Sherpa Bean filled Chair,$64.97,Out of stock online,Available in stores,stars rating-1_0,1 Review
Lounge & Co White Sherpa Bean Bag Cover,$39.97,Out of stock online,Available in stores,stars rating-5_0,2 Reviews
